_id,StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
459,עבירות בטחון,עבירות אחרות כלפי בטחון,קשירת קשר לביצוע פשע,
460,עבירות בטחון,עבירות אחרות כלפי בטחון,קשירת קשר לעבירה מעל 3 שנים,
461,עבירות בטחון,עבירות אחרות כלפי בטחון,קשירת קשר לעבירה עד 3 שנים,
462,עבירות בטחון,עבירות אחרות כלפי בטחון,קשירת קשר לשם היזק לאדם או רכושו,
463,עבירות בטחון,עבירות אחרות כלפי בטחון,קשירת קשר לשם הכשלת ביצוע כל דין,
464,עבירות בטחון,עבירות אחרות כלפי בטחון,קשר למעשה טרור/עבירה לפי סעיף 30,1
465,עבירות בטחון,עבירות אחרות כלפי בטחון,קשר למעשה טרור/עבירה לפי סעיף 30,1
466,עבירות בטחון,עבירות אחרות כלפי בטחון,קשר לעבור עבירה,
467,עבירות בטחון,עבירות אחרות כלפי בטחון,רכישת/החזקת חלק של נשק או תחמושת,1
468,עבירות בטחון,עבירות אחרות כלפי בטחון,רכישת/החזקת נשק שלא כדין,1
469,עבירות בטחון,עבירות אחרות כלפי בטחון,רשלנות לגבי תעודות,
470,עבירות בטחון,עבירות אחרות כלפי בטחון,שבועה להפריע שלום הציבור,
471,עבירות בטחון,עבירות אחרות כלפי בטחון,שבועה לעבור עבירה,
472,עבירות בטחון,עבירות אחרות כלפי בטחון,שהות בלילה בישראל ללא היתר  89 א  מצו בדבר הבטחון,
473,עבירות בטחון,עבירות אחרות כלפי בטחון,שהיית אדם בשטח סגור,
474,עבירות בטחון,עבירות אחרות כלפי בטחון,שוחד,
475,עבירות בטחון,עבירות אחרות כלפי בטחון,שוחד- דין הנותן  כדין המקבל,
476,עבירות בטחון,עבירות אחרות כלפי בטחון,שותף לאחר מעשה- העמדה לדין,
477,עבירות בטחון,עבירות אחרות כלפי בטחון,שותף לעבירה,
478,עבירות בטחון,עבירות אחרות כלפי בטחון,שותפים לאחר מעשה- הימלטות מעונש,
479,עבירות בטחון,עבירות אחרות כלפי בטחון,שותפים לאחר מעשה- עונשין,
480,עבירות בטחון,עבירות אחרות כלפי בטחון,שימוש בכלי יריה שלא כחוק,
481,עבירות בטחון,עבירות אחרות כלפי בטחון,שימוש במסמך של אחר,
482,עבירות בטחון,עבירות אחרות כלפי בטחון,שימוש/הצגת מסמך מזויף,
483,עבירות בטחון,עבירות אחרות כלפי בטחון,שינוי רישום בצ'ק,
484,עבירות בטחון,עבירות אחרות כלפי בטחון,שמוש בטענות שוא,1
485,עבירות בטחון,עבירות אחרות כלפי בטחון,שמוש לא מוסמך במדים רשמיים,1
486,עבירות בטחון,עבירות אחרות כלפי בטחון,שמוש לא מוסמך במסמך רשמי,1
487,עבירות בטחון,עבירות אחרות כלפי בטחון,שנוי מבנה הרכב  380 מצו  358 בדבר הוראות הבטחון 19,
488,עבירות בטחון,עבירות אחרות כלפי בטחון,תאגיד הסוחר עם האוייב,
489,עבירות בטחון,עבירות אחרות כלפי בטחון,תמיכה בארגון טרוריסטי,
490,עבירות בטחון,עבירות אחרות כלפי בטחון,תקיפה,
491,עבירות בטחון,עבירות אחרות כלפי בטחון,תקיפת עובד ציבור,
492,עבירות בטחון,עבירות אחרות כלפי בטחון,תקיפת עובד ציבור,
493,עבירות בטחון,עבירות אחרות כלפי בטחון,תקנות שעת חרום (אזורי בטחון) תש'ט - 1949,
494,עבירות בטחון,עבירות בטחון,ביצוע מעשה הפוגע בכשירות חייל,
495,עבירות בטחון,עבירות בטחון,החזקת ואיסוף מידע סודי,
496,עבירות בטחון,עבירות בטחון,הכנת מסמך לשם פגיעה בבטחון,
497,עבירות בטחון,עבירות בטחון,העברת ציוד דו שימושי מפוקח לרש'פ,
498,עבירות בטחון,עבירות בטחון,הפרעה לחייל צה'ל במילוי תפקידו,
499,עבירות בטחון,עבירות בטחון,הפרעה לעובד בטחון במילוי תפקידו,
500,עבירות בטחון,עבירות בטחון,השגת ידיעה בעלת ערך צבאי,
501,עבירות בטחון,עבירות בטחון,יצוא ביטחוני ללא/בניגוד לרישיון,
502,עבירות בטחון,עבירות בטחון,יצוא לגורם חוץ בניגוד להחלטת מועה'ב,
503,עבירות בטחון,עבירות בטחון,יצוא ציוד ביטחוני במעבר ללא לרישיון,
504,עבירות בטחון,עבירות בטחון,יצוא ציוד/ידע/שירות בטחוני מסווג,
505,עבירות בטחון,עבירות בטחון,מגע עם אויב או מי מטעמו,
506,עבירות בטחון,עבירות בטחון,ריגול לשם פגיעה בבטחון,
507,עבירות בטחון,עבירות בטחון,שיווק ביטחוני בנסיבות מחמירות,
508,עבירות בטחון,עבירות בטחון,שיווק ביטחוני ללא/בניגוד לרישיון,
509,עבירות בטחון,עבירות בטחון,תיווך בין גורמי חוץ בנסיבות מחמירות,
510,עבירות בטחון,עבירות על חוקי חרום,אי הצגת רשיון,
511,עבירות בטחון,עבירות על חוקי חרום,איומים כלפי בני אדם,
512,עבירות בטחון,עבירות על חוקי חרום,איומים על אחר,
513,עבירות בטחון,עבירות על חוקי חרום,איסור חומרים נפיצים,
514,עבירות בטחון,עבירות על חוקי חרום,החזקת חומר אסור,
515,עבירות בטחון,עבירות על חוקי חרום,החזקת משרה בהתאגדות בלתי חוקית,
516,עבירות בטחון,עבירות על חוקי חרום,החזקת משרה בהתאחדות בלתי מותרת,
517,עבירות בטחון,עבירות על חוקי חרום,החזקת רכוש של התאחדות בלתי מותרת,
518,עבירות בטחון,עבירות על חוקי חרום,הטעיה בנוגע לביצוע תפקידי הגנה/סדר,
519,עבירות בטחון,עבירות על חוקי חרום,הכנת חומר אסור והפצתו,
520,עבירות בטחון,עבירות על חוקי חרום,"הממליץ, מסית או מעודד בהתאחדיות בלתי מותרת",
521,עבירות בטחון,עבירות על חוקי חרום,המצאות בשטח ממשלתי ללא היתר,
522,עבירות בטחון,עבירות על חוקי חרום,הסגת גבול,
523,עבירות בטחון,עבירות על חוקי חרום,הסגת גבול למקום במטרה לפגוע,
524,עבירות בטחון,עבירות על חוקי חרום,הסרת מחסומים מהדרך,
525,עבירות בטחון,עבירות על חוקי חרום,הפרת הוראה/צו/דרישה מכח תקנה זו,
526,עבירות בטחון,עבירות על חוקי חרום,הפרת סדר ציבורי במקום ממשלתי,
527,עבירות בטחון,עבירות על חוקי חרום,הפרת עוצר או צו הגבלה,
528,עבירות בטחון,עבירות על חוקי חרום,הפרת צו סגירת עסק,
529,עבירות בטחון,עבירות על חוקי חרום,הפרת צו פתיחת עסק,
530,עבירות בטחון,עבירות על חוקי חרום,הפרת צו שירות/שימוש בטלפון,
531,עבירות בטחון,עבירות על חוקי חרום,הפרת צו שמירת אמלח,
532,עבירות בטחון,עבירות על חוקי חרום,הפרת תנאי רשיון,
533,עבירות בטחון,עבירות על חוקי חרום,השתתפות באסיפה,
534,עבירות בטחון,עבירות על חוקי חרום,התחזות לבעל תפקיד ממשלתי,
535,עבירות בטחון,עבירות על חוקי חרום,חברות בהתאגדות בלתי חוקית,
536,עבירות בטחון,עבירות על חוקי חרום,חברות בהתאגדות בלתי מותרת,
537,עבירות בטחון,עבירות על חוקי חרום,חברות בקבוצה המבצעת עבירות נגד סד'צ,
538,עבירות בטחון,עבירות על חוקי חרום,יריות על רכב ישראלי 45 (1)  מצו הוראות הבטחון 1970,
539,עבירות בטחון,עבירות על חוקי חרום,"כותב, מכין או מייצר, מדפיס, מעתיק, מפרסם, מציג, מו",
540,עבירות בטחון,עבירות על חוקי חרום,כניסה לשטח סגור,
541,עבירות בטחון,עבירות על חוקי חרום,מסירת תיאור/דוח כוזבים,
542,עבירות בטחון,עבירות על חוקי חרום,מתיר קיום אסיפה בביתו/נכס שייך לו,
543,עבירות בטחון,עבירות על חוקי חרום,מתן מקלט,
544,עבירות בטחון,עבירות על חוקי חרום,מתן שירות להתאגדות בלתי חוקית,
545,עבירות בטחון,עבירות על חוקי חרום,מתן שירות להתאחדות בלתי מותרת,
546,עבירות בטחון,עבירות על חוקי חרום,נוכחות באסיפה של התאחדות בלתי מותרת,
547,עבירות בטחון,עבירות על חוקי חרום,נזק זדוני לרכוש הצבא בעת מלחמה,1
548,עבירות בטחון,עבירות על חוקי חרום,נזק לרכוש הצבא לפגיעה בבטחון,1
549,עבירות בטחון,עבירות על חוקי חרום,"נמצא בחזקתו, במשמרו או בשליטתו ספר, חשבון, כתב עת,",
550,עבירות בטחון,עבירות על חוקי חרום,סירוב להזדהות,
551,עבירות בטחון,עבירות על חוקי חרום,פגיעה ברכוש בזמן פעולות איבה,
552,עבירות בטחון,עבירות על חוקי חרום,פגיעה ברכוש הפוגעת בבטחון המדינה,
553,עבירות בטחון,עבירות על חוקי חרום,פעולה מטעם התאגדות בלתי חוקית,
554,עבירות בטחון,עבירות על חוקי חרום,פעולה מטעם התאגדות בלתי חוקית,
555,עבירות בטחון,עבירות על חוקי חרום,צו בדבר הוראות בטחון-מינהלי,
556,עבירות בטחון,עבירות על חוקי חרום,קבלת תרומה עבור התאגדות בלתי חוקית,
557,עבירות בטחון,עבירות על חוקי חרום,קבלת תרומה עבור התאגדות בלתי חוקית,
558,עבירות בטחון,עבירות על חוקי חרום,תעמולה הפוגעת בשלום הצבור,
559,עבירות כלכליות,עבירות כלכליות,אגודה שאינה תאגיד בנקאי שעסקה במתן שירותי פיקדון ו,
560,עבירות כלכליות,עבירות כלכליות,אחריות נושא משרה,
561,עבירות כלכליות,עבירות כלכליות,אחריות נושא משרה,
562,עבירות כלכליות,עבירות כלכליות,אי הצגת מחירי סוגי דלק הנמכרים בתחנת תדלוק או הצגת,
563,עבירות כלכליות,עבירות כלכליות,אי נקיטת פעולה שנקבעה למכירת דלק לא תקין בניגוד לה,
564,עבירות כלכליות,עבירות כלכליות,"איסור הוצאת מיכל גפ""מ מישראל לאזור",
565,עבירות כלכליות,עבירות כלכליות,"איסור הכנסה לישראל של מיכל גפ""מ שמולא בגפ""מ  מחוץ",
566,עבירות כלכליות,עבירות כלכליות,"איסור חיבור מיכל גפ""מ למתקן גז למתקן גפ""מ שלא מסומ",
567,עבירות כלכליות,עבירות כלכליות,"איסור מילוי מיכל בגפ""מ במתקן גז, שאין לו היתר או ש",
568,עבירות כלכליות,עבירות כלכליות,איסור מכירה או יצור דלק שאינו עומד בדרישות שנקבעו,
569,עבירות כלכליות,עבירות כלכליות,איסור מכירת דלק ללא התקשרות עם מעבדה מאושרת,
570,עבירות כלכליות,עבירות כלכליות,איסור מכירת דלק לתחנת תדלוק שאינה כלולה ברשימת התח,
571,עבירות כלכליות,עבירות כלכליות,"איסור מכירת דלק ממיכל שלא נוקה, שהתגלה בו דלק לא ת",
572,עבירות כלכליות,עבירות כלכליות,"איסור שימוש במיכל גפ""מ שאינו מסומן בסימון שם ספק ה",
573,עבירות כלכליות,עבירות כלכליות,"איסור שינוי סימון על מיכל גפ""מ",
574,עבירות כלכליות,עבירות כלכליות,העובר על ס' 9 איסור ייצוג לפני רשות מס בלא רישיון,
575,עבירות כלכליות,עבירות כלכליות,הצגת מחיר דלק הנמוך מהמחיר הנגבה בפועל או הצגת מחי,
576,עבירות כלכליות,עבירות כלכליות,חייב שניתן לגביו צו לפתיחת הליכים והסתיר נכס או לא,
577,עבירות כלכליות,עבירות כלכליות,יחיד שהתקשר או ביצע פעולה באשראי שלא ברישור הממונה,
578,עבירות כלכליות,עבירות כלכליות,כרת חוזה הלוואה לפי ס' משנה (א)-(ה) במטרה להתחמק מ,
579,עבירות כלכליות,עבירות כלכליות,כרת חוזה הלוואה שבו שיעור העלות הממשית של האשראי ע,
580,עבירות כלכליות,עבירות כלכליות,כרת חוזה הלוואה שבו שיעור ריבית הפיגורים עולה עיל,
581,עבירות כלכליות,עבירות כלכליות,לא מסר מידע או מסמכים או מסר מידע חלקי או כוזב במט,
582,עבירות כלכליות,עבירות כלכליות,מי שעיסוקו במתן אשראי שעסק גם בהנפקה של כרטיסי אשר,
583,עבירות כלכליות,עבירות כלכליות,נותן/ עוסק בשירותים פיננסיים בהיקף פעילות נרחב ללא,
584,עבירות כלכליות,עבירות כלכליות,נסיבות מחמירות - העובר עבירה לפי סעיף 47(א) לחוק ב,
585,עבירות כלכליות,עבירות כלכליות,סירוב מסירת מידע או מסמכים,
586,עבירות כלכליות,עבירות כלכליות,עונשין - אי הודעה על מיזוג חברות או עשיית מעשה שיש,
587,עבירות כלכליות,עבירות כלכליות,עונשין - אי קיום תנאי שנקבע באישור המיזוג,
588,עבירות כלכליות,עבירות כלכליות,עונשין - אי קיום תנאי שעל פיו אושר ההסדר הכובל או,
589,עבירות כלכליות,עבירות כלכליות,עונשין - העובר על הוראה מהוראות חוק זה,
590,עבירות כלכליות,עבירות כלכליות,עונשין - ניצול לרעה של המעמד בשוק לפי הוראות סעיף,
591,עבירות כלכליות,עבירות כלכליות,עונשין - עבירה על צו שניתן לפי סעיפים 35 או 36 לחו,
592,עבירות כלכליות,עבירות כלכליות,"עסק בהפעלת מערכת לתיוון באשראי בלא רישיון, בניגוד",
593,עבירות כלכליות,עבירות כלכליות,עסק במתן שירות בנכס פיננסי או במתן אשראי בלא רישיו,
594,עבירות כלכליות,עבירות כלכליות,קיבל תשלום לפי חוזה הלוואה לפי פסקה (2)או (3),
595,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות המוביל על הנוהג בכלי רכב,
596,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות מוביל למזמין הובלה,
597,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות מנהל בנק,
598,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות מעביד בפיקוח ומניעת ביצוע עב,
599,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות מעביד כשנעברה עבירה ע'י עובד,
600,עבירות כלכליות,עבירות על פקוח כלכלי,אחריות של חבר בני אדם,
601,עבירות כלכליות,עבירות על פקוח כלכלי,אי החלת ס'01 לעניין סימון תזונתי,
602,עבירות כלכליות,עבירות על פקוח כלכלי,אי הפעלת מונה במונית,
603,עבירות כלכליות,עבירות על פקוח כלכלי,אי הצגת תעודת רישום,
604,עבירות כלכליות,עבירות על פקוח כלכלי,אי מילוי הוראה,
605,עבירות כלכליות,עבירות על פקוח כלכלי,אי מילוי חובת מתן הצהרה,
606,עבירות כלכליות,עבירות על פקוח כלכלי,אי מתן הודעה לרשם על שינויים,
607,עבירות כלכליות,עבירות על פקוח כלכלי,אי מתן חשבוניות עבור שכר ושירותים,
608,עבירות כלכליות,עבירות על פקוח כלכלי,אי מתן חשבונית בעשית שירות,
609,עבירות כלכליות,עבירות על פקוח כלכלי,אי עמידה בתנאי הרשיון,
610,עבירות כלכליות,עבירות על פקוח כלכלי,אי קיום חובת רשיון,
611,עבירות כלכליות,עבירות על פקוח כלכלי,אי קיום צו הפסקה,
612,עבירות כלכליות,עבירות על פקוח כלכלי,איסור החזקת זהב,
613,עבירות כלכליות,עבירות על פקוח כלכלי,איסור הטעיה באשר להספקה ומתן השירות,
614,עבירות כלכליות,עבירות על פקוח כלכלי,איסור הטעיה באשר לזהות היבואן והשיר,
615,עבירות כלכליות,עבירות על פקוח כלכלי,"איסור הטעיה בשימוש בנכס,תועלת וסיכ",
616,עבירות כלכליות,עבירות על פקוח כלכלי,איסור הטעית צרכן באשר למרכיב הנכס,
617,עבירות כלכליות,עבירות על פקוח כלכלי,איסור הטעית צרכן באשר לסוג הנכס וטי,
618,עבירות כלכליות,עבירות על פקוח כלכלי,איסור הלבנת הון - מניעת דווח,
619,עבירות כלכליות,עבירות על פקוח כלכלי,איסור העברת רשיון,
620,עבירות כלכליות,עבירות על פקוח כלכלי,איסור התקשרות בחוזה/בעסקה עם המועצה,
621,עבירות כלכליות,עבירות על פקוח כלכלי,איסור לסרב להסיע במונית,
622,עבירות כלכליות,עבירות על פקוח כלכלי,איסור מכירה ואחזקה,
623,עבירות כלכליות,עבירות על פקוח כלכלי,איסור סירוב מכירת מצרך בר פיקוח,
624,עבירות כלכליות,עבירות על פקוח כלכלי,איסור עשיית פעולה ברכוש אסור,
625,עבירות כלכליות,עבירות על פקוח כלכלי,בביטול עסקה- נהג בניגוד לס' 14ה,
626,עבירות כלכליות,עבירות על פקוח כלכלי,בעסקה מרחוק- אי גילוי פרטים,
627,עבירות כלכליות,עבירות על פקוח כלכלי,גביית עמלות גבוהות מהקבוע בחוק,
628,עבירות כלכליות,עבירות על פקוח כלכלי,הברחת טובין,
629,עבירות כלכליות,עבירות על פקוח כלכלי,הברחת טובין לישראל,
630,עבירות כלכליות,עבירות על פקוח כלכלי,הברחת טובין ללא הצדקה,
631,עבירות כלכליות,עבירות על פקוח כלכלי,הובלת ואחזקת מוצר חקלאי בנגוד להיתר,
632,עבירות כלכליות,עבירות על פקוח כלכלי,הובלת ואחזקת מוצר חקלאי ללא היתר,
633,עבירות כלכליות,עבירות על פקוח כלכלי,הובלת חומר מסוכן שלא כחוק,
634,עבירות כלכליות,עבירות על פקוח כלכלי,החזקת טובין מוברח בישראל,
635,עבירות כלכליות,עבירות על פקוח כלכלי,הטעיה או אי מסירת פרטים,
636,עבירות כלכליות,עבירות על פקוח כלכלי,הטעייה או מרמה,
637,עבירות כלכליות,עבירות על פקוח כלכלי,הטעיית צרכן בניגוד לסעיף 2,
638,עבירות כלכליות,עבירות על פקוח כלכלי,הכנסת כספים ללא הצהרה,
639,עבירות כלכליות,עבירות על פקוח כלכלי,המוסר מידע כוזב לגבי רכוש אסור,
640,עבירות כלכליות,עבירות על פקוח כלכלי,הסכם השכרה,
641,עבירות כלכליות,עבירות על פקוח כלכלי,הסעת נוסעים בשכר,
642,עבירות כלכליות,עבירות על פקוח כלכלי,הסעת סיור ברכב לא מסומן,
643,עבירות כלכליות,עבירות על פקוח כלכלי,העברת תמרוקים ללא רשיון,
644,עבירות כלכליות,עבירות על פקוח כלכלי,העדר רשיון למפעל,
645,עבירות כלכליות,עבירות על פקוח כלכלי,העושה פעולה ברכוש אסור,
646,עבירות כלכליות,עבירות על פקוח כלכלי,העלאת מחירים שלא כדין,
647,עבירות כלכליות,עבירות על פקוח כלכלי,העלמה והשמדה,
648,עבירות כלכליות,עבירות על פקוח כלכלי,העסקה בהפעלת שירות ללא רשיון מתאים,
649,עבירות כלכליות,עבירות על פקוח כלכלי,העסקת בחילוץ וגרירה ללא רשיון מתאים,
650,עבירות כלכליות,עבירות על פקוח כלכלי,הפקעת מחיר למצרך או שירות חדשים,
651,עבירות כלכליות,עבירות על פקוח כלכלי,הפריע לאדם מוסמך לבצע את סמכויותיו לפי החוק או מנע,
652,עבירות כלכליות,עבירות על פקוח כלכלי,הפריע לאדם מוסמך לבצע את סמכויותיו לפי החוק או מנע,
653,עבירות כלכליות,עבירות על פקוח כלכלי,הפרעה לבעל סמכות פיקוח,
654,עבירות כלכליות,עבירות על פקוח כלכלי,הפרעה לפקיד מכס בנוגע להברחה,
655,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת הוראה,
656,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת הוראה מהוראות חוק זה,
657,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת הוראות בסימון טובין ואריזתם,
658,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת הוראות בפרסום מחירי נכסים,
659,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת חובת דיווח שהוטלה לפי סעיף 9 לחוק,
660,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת חוק הפיקוח - אי הבטחת נוסעים,
661,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת חוק הפיקוח - התנהגות לא נהותה,
662,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת תנאי היתר,
663,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת תנאי רשיון,
664,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת תנאי של רישיון או היתר,
665,עבירות כלכליות,עבירות על פקוח כלכלי,הפרת תנאי של רישיון או היתר,
666,עבירות כלכליות,עבירות על פקוח כלכלי,הציע יחידות שלא ע'פ תשקיף,
667,עבירות כלכליות,עבירות על פקוח כלכלי,הרשה לאחר להישתמש ברישיון,
668,עבירות כלכליות,עבירות על פקוח כלכלי,"השטת טובין שלא כדין / בניגוד לצו ע""י יצואן או יבוא",
669,עבירות כלכליות,עבירות על פקוח כלכלי,השתמטות מתשלום מכס,
670,עבירות כלכליות,עבירות על פקוח כלכלי,חובת דיווח על מחירים,
671,עבירות כלכליות,עבירות על פקוח כלכלי,חובת רשיון,
672,עבירות כלכליות,עבירות על פקוח כלכלי,חובת רשיון יצור מוצרי תעבורה,
673,עבירות כלכליות,עבירות על פקוח כלכלי,חובת רשיון עיסוק,
674,עבירות כלכליות,עבירות על פקוח כלכלי,חיוב בהנפקת כ אשראי בניגוד לס' 14ב,
675,עבירות כלכליות,עבירות על פקוח כלכלי,"ייצור, ייבוא, מכירה, החזקה, העברה של צעצוע מסוכן,",
676,עבירות כלכליות,עבירות על פקוח כלכלי,"ייצור, ייבוא, מכירה, החזקה, העברה של צעצוע מסוכן,",
677,עבירות כלכליות,עבירות על פקוח כלכלי,יצור תמרוקים ללא רשיון,
678,עבירות כלכליות,עבירות על פקוח כלכלי,לא ימכור אדם במהלך עסקו מצרך במחיר העולה על המחיר,
679,עבירות כלכליות,עבירות על פקוח כלכלי,לא ימכור אדם מצרך ולא ייתן שירות במחיר העולה על המ,
680,עבירות כלכליות,עבירות על פקוח כלכלי,מוסר פרטים כוזבים,
681,עבירות כלכליות,עבירות על פקוח כלכלי,מי שהפריע לאדם מוסמך לבצע את סמכויותיו או מנע זאת,
682,עבירות כלכליות,עבירות על פקוח כלכלי,מי שנדרש למסור ידיעות או להמציא מסמך או חפץ לפי ס',
683,עבירות כלכליות,עבירות על פקוח כלכלי,מכירה או החזקת טובין בניגוד לס' 18,
684,עבירות כלכליות,עבירות על פקוח כלכלי,מכירת מצרך שונה מהנחזה,
685,עבירות כלכליות,עבירות על פקוח כלכלי,מכירת/הספקת דלק בניגוד לס' 2,
686,עבירות כלכליות,עבירות על פקוח כלכלי,מסירת ידיעה כוזבת,
687,עבירות כלכליות,עבירות על פקוח כלכלי,מעביד שלא קיים חובתו לפקח על עובדו או מורשהו לשם מ,
688,עבירות כלכליות,עבירות על פקוח כלכלי,מפר הוראה מהחוק,
689,עבירות כלכליות,עבירות על פקוח כלכלי,משנחקר לפי ס' 32 ולא השיב תשובות נכונות ומלאות או,
690,עבירות כלכליות,עבירות על פקוח כלכלי,מתן שירותי מטבע בלא רישום במרשם,
691,עבירות כלכליות,עבירות על פקוח כלכלי,ניצול מצוקה של לקוח,
692,עבירות כלכליות,עבירות על פקוח כלכלי,נמנע מלמסור ידיעה או מלהמציא מסמך או חפץ לפי סעיף,
693,עבירות כלכליות,עבירות על פקוח כלכלי,סחר במוצרי תעבורה,
694,עבירות כלכליות,עבירות על פקוח כלכלי,סיוע להברחה לישראל,
695,עבירות כלכליות,עבירות על פקוח כלכלי,סימון מוצר מזון,
696,עבירות כלכליות,עבירות על פקוח כלכלי,סירב להראות לאדם מוסמך פנקס או תעודה אחרת הנוגעים,
697,עבירות כלכליות,עבירות על פקוח כלכלי,סירוב למלא שאלון או למסור פרטים,
698,עבירות כלכליות,עבירות על פקוח כלכלי,"עבירה על הוראות פרק ב,ג,ד לחוק",
699,עבירות כלכליות,עבירות על פקוח כלכלי,עבר על חוק הפיקוח,
700,עבירות כלכליות,עבירות על פקוח כלכלי,עובר במסלול ירוק,
701,עבירות כלכליות,עבירות על פקוח כלכלי,עובר על הוראה מהצו,
702,עבירות כלכליות,עבירות על פקוח כלכלי,עונשין-אי קיום הוראות,
703,עבירות כלכליות,עבירות על פקוח כלכלי,עיסקה במקרקעין ללא היתר,
704,עבירות כלכליות,עבירות על פקוח כלכלי,ענישה למפר צו בדבר הכנסת כספים,
705,עבירות כלכליות,עבירות על פקוח כלכלי,עסקה ברוכלות- אי קיום הוראות ס' 14,
706,עבירות כלכליות,עבירות על פקוח כלכלי,עשית הסדר שלא ע'י קרן ההשקעות,
707,עבירות כלכליות,עבירות על פקוח כלכלי,עשית עסקה בטובין בלא אישור,
708,עבירות כלכליות,עבירות על פקוח כלכלי,פעולה ללא רישיון,
709,עבירות כלכליות,עבירות על פקוח כלכלי,פעולה ללא רישיון בנסיבות מחמירות,
710,עבירות כלכליות,עבירות על פקוח כלכלי,פרסום או מכירת טובין מוברח,
711,עבירות כלכליות,עבירות על פקוח כלכלי,פרסום או מסירת מידע ללא סמכות,
712,עבירות כלכליות,עבירות על פקוח כלכלי,פתיחת משרד הובלה ללא רשיון,
713,עבירות כלכליות,עבירות על פקוח כלכלי,צו הפיקח על מצרכים ושרותים (יצוא ציוד בטחוני) תשנ',
714,עבירות כלכליות,עבירות על פקוח כלכלי,קבלת כספים או הכנסתם לאזור ללא היתר,
715,עבירות כלכליות,עבירות על פקוח כלכלי,קבלת/הכנסת כספים לאזור בניגוד לצו,
716,עבירות כלכליות,עבירות על פקוח כלכלי,רשיון להשכרת רכב,
717,עבירות כלכליות,עבירות על פקוח כלכלי,רשיון נהיגה ברכב סיור,
718,עבירות כלכליות,עבירות על פקוח כלכלי,רשלנות,
719,עבירות כלכליות,עבירות על פקוח כלכלי,שימוש במידע פנים,
720,עבירות כלכליות,עבירות על פקוח כלכלי,שינוי טובין בלא רשות,
721,עבירות כלכליות,עבירות על פקוח כלכלי,שירות הסעה במונית ללא רשיון,
722,עבירות כלכליות,עבירות על פקוח כלכלי,שמוש ברכב השכרה,
723,עבירות כלכליות,עבירות על פקוח כלכלי,תקנות הפיקוח על מצרכים ושירותים (פקוח על יהלומים),
724,עבירות כלכליות,עבירות פיסקליות,אחריות דירקטור ומנכ'ל לעברות תאגיד,
725,עבירות כלכליות,עבירות פיסקליות,אחריות מנהל פעיל/שותף/מנהל חשבונות או פקיד אחראי/נ,
726,עבירות כלכליות,עבירות פיסקליות,אחריות מנהל פעיל/שותף/מנהל חשבונות או פקיד אחראי/נ,
727,עבירות כלכליות,עבירות פיסקליות,אי-העברת מס שנוכה,
728,עבירות כלכליות,עבירות פיסקליות,"אי הגשת דו'ח במועד לרבות דן""ח שהוא חייב להגישו על",
729,עבירות כלכליות,עבירות פיסקליות,אי הגשת דין וחשבון במועדו,
730,עבירות כלכליות,עבירות פיסקליות,אי הודעה על התחלת התעסקות,
731,עבירות כלכליות,עבירות פיסקליות,אי התיצבות לחקירה  לאחר דרישה,
732,עבירות כלכליות,עבירות פיסקליות,אי מילוי הוראות סעיף 17ג,
733,עבירות כלכליות,עבירות פיסקליות,אי מילוי הוראות סעיף 35כד,
734,עבירות כלכליות,עבירות פיסקליות,אי מילוי הוראות סעיף 36,
735,עבירות כלכליות,עבירות פיסקליות,אי מילוי הוראות סעיף 36א,
736,עבירות כלכליות,עבירות פיסקליות,אי מילוי הוראות סעיף 37,
737,עבירות כלכליות,עבירות פיסקליות,אי מלוי חובת רישום,
738,עבירות כלכליות,עבירות פיסקליות,אי מסירת אינפורמציה לאחר דרישה,
739,עבירות כלכליות,עבירות פיסקליות,אי מסירת דבר על פי דרישה מוסמכת,
740,עבירות כלכליות,עבירות פיסקליות,אי מתן תשובה,
741,עבירות כלכליות,עבירות פיסקליות,אי נהול רשומות או נהולם נגד ההוראות,
742,עבירות כלכליות,עבירות פיסקליות,אי ניהול פנקסים,
743,עבירות כלכליות,עבירות פיסקליות,אי ניכוי מס,
744,עבירות כלכליות,עבירות פיסקליות,אי קיום דרישה,
745,עבירות כלכליות,עבירות פיסקליות,אי רישום תקבול,
746,עבירות כלכליות,עבירות פיסקליות,אי שמירת סודית,
747,עבירות כלכליות,עבירות פיסקליות,הברחת/החזקת טובין מוברחים-נסיבות מחמירות,
748,עבירות כלכליות,עבירות פיסקליות,הובלת טובין ביודעין ללא תעודה כדין,
